Date,HRP_DCC,Equal_Weight,Static_HRP,Min_Variance
2012-10-10,0.0001826585595124973,-0.0016115402127116069,0.0006301865334609781,-0.00022223345071344807
2012-10-11,0.0018779495192385363,0.002572276447328576,0.0019419216864523569,0.0023945147211430684
2012-10-12,-0.00040063357449721235,-0.002965694022771659,-0.00025655783889164043,-0.0011358545003080514
2012-10-15,0.0013474497772023235,0.0057185425813076,0.0011154569525080541,0.0021156897100362854
2012-10-16,-0.00037607181073003276,0.005528620127707599,-0.0010185707837569353,6.806251672697005e-05
2012-10-17,-0.0011174773504648817,0.002361351764121136,-0.0016751848665504782,-0.0010050848318244967
2012-10-18,-0.0008343871705673235,-0.0024191177935128797,-0.001097795648306098,-0.00209696864244692
2012-10-19,-0.0009043637793709254,-0.01229450133808448,-7.129302562857299e-05,-0.0025877216929266465
2012-10-22,-0.0013513713897994502,0.0003996676249565198,-0.0015792009281427486,-0.0016350740962244197
2012-10-23,-0.0004325124972254762,-0.011119210645689645,0.00034597067308600937,-0.0013420331692611791
2012-10-24,-0.0021618882196607196,-0.0036314383274223356,-0.0024305203194465693,-0.0035067931079318204
2012-10-25,-0.0008156504793803108,0.002939241374202618,-0.0012047194007446284,-0.00022406255130900292
2012-10-26,0.0027489919549869494,0.001544494213288963,0.0034243086856297965,0.0036252577529607625
2012-10-31,0.0030248094808896274,0.0005254342542489882,0.003243130928199886,0.003052749189319936
2012-11-01,-0.00189481873112365,0.007560116162256015,-0.002344079148132951,-0.0008498428802295743
2012-11-02,-0.002305019899706078,-0.008412588202780373,-0.0021960749373091445,-0.0042585800270860475
2012-11-05,0.00026623241246420833,0.0003032533932470849,0.00045648482080460186,0.001160960180096188
2012-11-06,-0.0010835803830015205,0.005002101370700764,-0.0016514755604915819,-0.00038377179903943367
2012-11-07,-0.00045816706966462237,-0.01540548315070203,0.0007685142895030265,-0.0024332444976414972
2012-11-08,0.0009961427278606058,-0.004682304117183535,0.0016481460963353295,0.00045764743428519184
2012-11-09,-0.0014989503024032444,0.00013107240888385818,-0.001483785721327611,-0.000629175947756751
2012-11-12,-7.978369573187857e-05,0.0039073716451821314,-6.20608059840691e-05,0.00012182680077117572
2012-11-13,0.0004389822958906256,-0.0020863929607109802,0.0004363869267895055,-7.63108412172551e-05
2012-11-14,-0.0009440812594441585,-0.008762206719168162,-0.0012549911117231667,-0.0026645348335161043
2012-11-15,-0.0017505087646974163,-0.002826021648398576,-0.0017984866907866802,-0.0021298877414193517
2012-11-16,0.0010409602084876163,0.0058362754542665915,0.0012867568527662589,0.0016987847937151056
2012-11-19,0.0028692872855747642,0.015346018321747704,0.0025064244130599215,0.003995835987013667
2012-11-20,-0.00245300181213866,-0.00034163911727154715,-0.0026751924553793014,-0.002973142665390414
2012-11-21,-0.0010047191306524462,8.147013484145527e-05,-0.0010868421830197035,-0.0006722705134294005
2012-11-23,0.0017672392135505404,0.00921141705069972,0.0015561545548828711,0.002898566429208959
2012-11-26,0.0015778582442329378,0.00142829666410566,0.0020952801325632327,0.0021367049145376606
2012-11-27,0.000562888215404959,-0.003279293911894484,0.0006427025965834077,0.0002388076865492523
